,Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
76,23/05/2018,32,0,15.8,97,2.4,181,15.3,0.0,3.5,0.0,Spring,No Holiday,Yes
77,28/08/2018,1841,8,23.4,83,0.8,1998,20.3,0.32,0.0,0.0,Summer,No Holiday,Yes
78,08/11/2018,148,8,10.6,89,1.5,689,8.8,0.02,0.0,0.0,Autumn,No Holiday,Yes
79,16/06/2018,1056,1,18.4,59,1.3,2000,10.2,0.0,0.0,0.0,Summer,No Holiday,Yes
80,04/02/2018,21,5,-11.5,51,3.3,1996,-19.6,0.0,0.0,0.0,Winter,No Holiday,Yes
81,28/10/2018,625,22,6.7,76,0.6,2000,2.7,0.0,0.0,0.0,Autumn,No Holiday,Yes
82,21/05/2018,3069,18,21.6,48,2.5,1884,10.1,0.61,0.0,0.0,Spring,No Holiday,Yes
83,08/05/2018,2020,17,21.7,38,2.0,2000,6.7,1.17,0.0,0.0,Spring,No Holiday,Yes
84,22/07/2018,360,7,25.8,67,0.9,1773,19.1,0.34,0.0,0.0,Summer,No Holiday,Yes
85,27/08/2018,1113,23,23.6,87,0.6,2000,21.3,0.0,0.0,0.0,Summer,No Holiday,Yes
86,03/06/2018,2173,21,24.2,32,2.1,2000,6.4,0.0,0.0,0.0,Summer,No Holiday,Yes
87,24/12/2017,104,17,2.2,86,2.6,605,0.0,0.04,0.0,0.0,Winter,Holiday,Yes
88,18/07/2018,1308,7,24.2,74,0.7,656,19.2,0.35,0.0,0.0,Summer,No Holiday,Yes
89,08/05/2018,200,5,15.0,64,1.6,2000,8.2,0.0,0.0,0.0,Spring,No Holiday,Yes
90,11/12/2017,361,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,Winter,No Holiday,Yes
91,14/10/2018,1056,11,16.2,41,1.0,878,2.9,2.11,0.0,0.0,Autumn,No Holiday,Yes
92,21/06/2018,1473,16,,42,3.1,1622,14.3,2.62,0.0,0.0,Summer,No Holiday,Yes
93,28/11/2018,804,22,3.2,34,1.3,1787,-11.1,0.0,0.0,0.0,Autumn,No Holiday,Yes
94,22/11/2018,133,5,-0.4,39,0.8,2000,-12.6,0.0,0.0,0.0,Autumn,No Holiday,Yes
95,14/01/2018,226,12,1.2,58,0.8,550,-6.1,0.74,0.0,0.0,Winter,No Holiday,Yes
96,25/07/2018,2416,18,32.2,58,2.5,1553,22.8,0.44,0.0,0.0,Summer,No Holiday,Yes
97,08/06/2018,1314,13,24.2,58,1.9,1015,15.4,1.87,0.0,0.0,Summer,No Holiday,Yes
98,11/11/2018,395,8,6.3,81,0.8,365,3.2,0.11,0.0,0.0,Autumn,No Holiday,Yes
99,26/12/2017,213,22,-7.2,38,3.1,2000,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes
100,19/03/2018,731,21,8.0,47,3.3,2000,-2.6,0.0,0.0,0.0,Spring,No Holiday,Yes
101,06/05/2018,1737,17,20.2,62,1.1,2000,12.6,1.74,0.0,0.0,Spring,No Holiday,Yes
102,15/01/2018,455,17,6.5,40,0.8,804,-6.1,0.23,0.0,0.0,Winter,No Holiday,Yes
103,25/07/2018,939,0,28.9,66,2.2,2000,21.9,0.0,0.0,0.0,Summer,No Holiday,Yes
104,13/10/2018,1381,19,14.8,47,1.3,1111,3.5,0.0,0.0,0.0,Autumn,No Holiday,Yes
105,07/06/2018,418,2,18.8,88,0.3,500,16.7,0.0,0.0,0.0,Summer,No Holiday,Yes
106,22/08/2018,346,3,24.1,80,0.8,1920,20.4,0.0,0.0,0.0,Summer,No Holiday,Yes
107,25/06/2018,199,4,21.8,82,0.7,702,18.5,0.0,0.0,0.0,Summer,No Holiday,Yes
108,12/11/2018,158,5,4.0,71,0.0,2000,-0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes
109,05/12/2017,789,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes
110,21/12/2017,243,11,-0.7,62,0.7,519,-7.0,0.77,0.0,2.0,Winter,No Holiday,Yes
111,06/08/2018,969,23,29.4,79,1.2,777,25.3,0.0,2.0,0.0,Summer,No Holiday,Yes
112,31/01/2018,69,0,-1.7,83,0.8,1113,-4.2,0.0,0.0,3.5,Winter,No Holiday,Yes
113,25/07/2018,726,1,28.7,67,2.6,2000,21.9,0.0,0.0,0.0,Summer,No Holiday,Yes
114,20/01/2018,56,5,-0.3,62,0.6,862,-6.7,0.0,0.0,0.0,Winter,No Holiday,Yes
115,20/05/2018,676,9,16.0,34,1.3,2000,0.1,1.0,0.0,0.0,Spring,No Holiday,Yes
116,19/04/2018,1039,15,20.2,21,4.8,1161,-2.8,2.53,0.0,0.0,Spring,No Holiday,Yes
117,04/06/2018,2377,21,22.6,62,1.1,1363,14.9,0.0,0.0,0.0,Summer,No Holiday,Yes
118,26/06/2018,353,3,25.4,50,1.1,870,14.2,0.0,0.0,0.0,Summer,No Holiday,Yes
119,02/04/2018,1218,16,23.0,47,4.1,1417,11.0,2.0,0.0,0.0,Spring,No Holiday,Yes
120,13/05/2018,178,1,15.1,97,1.7,173,14.6,0.0,0.2,0.0,Spring,No Holiday,Yes
121,24/09/2018,620,0,17.2,50,1.7,2000,6.6,0.0,0.0,0.0,Autumn,Holiday,Yes
122,06/04/2018,598,11,8.3,69,4.1,1217,2.9,1.81,0.0,0.0,Spring,No Holiday,Yes
123,20/11/2018,861,15,11.9,18,3.3,1848,-11.7,1.32,0.0,0.0,Autumn,No Holiday,Yes
124,15/12/2017,247,23,-1.3,60,2.5,792,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes
125,30/12/2017,356,14,4.3,60,1.2,272,-2.7,0.4,0.0,0.0,Winter,No Holiday,Yes
126,15/09/2018,1578,19,23.8,78,2.2,1991,19.7,0.0,0.0,0.0,Autumn,No Holiday,Yes
127,10/07/2018,1061,9,22.3,86,1.0,2000,19.8,0.42,0.0,0.0,Summer,No Holiday,Yes
128,10/06/2018,483,0,20.2,66,1.5,2000,13.6,0.0,0.0,0.0,Summer,No Holiday,Yes
129,01/07/2018,11,11,21.2,97,1.2,105,20.6,0.15,18.5,0.0,Summer,No Holiday,Yes
130,26/06/2018,49,7,21.2,87,0.8,376,18.9,0.03,1.5,0.0,Summer,No Holiday,Yes
131,27/11/2018,800,9,5.0,75,0.3,390,0.9,0.12,0.0,0.0,Autumn,No Holiday,Yes
132,02/07/2018,104,8,20.8,96,0.4,1627,20.1,0.11,1.5,0.0,Summer,No Holiday,Yes
133,12/10/2018,409,2,7.1,61,0.6,2000,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
134,18/05/2018,454,10,16.3,97,1.0,693,15.8,0.37,0.0,0.0,Spring,No Holiday,Yes
135,17/02/2018,250,17,0.6,17,3.3,2000,-21.7,0.79,0.0,0.0,Winter,Holiday,Yes
136,03/10/2018,440,7,11.2,85,0.3,1593,8.7,0.02,0.0,0.0,Autumn,Holiday,Yes
137,30/08/2018,1685,20,,70,1.2,1377,19.0,0.0,0.0,0.0,Summer,No Holiday,Yes
138,06/08/2018,569,11,31.3,70,1.0,1227,25.1,1.89,0.0,0.0,Summer,No Holiday,Yes
139,10/02/2018,118,23,-6.7,35,2.1,2000,-19.6,0.0,0.0,0.0,Winter,No Holiday,Yes
140,23/07/2018,174,4,29.3,51,0.9,1498,18.1,0.0,0.0,0.0,Summer,No Holiday,Yes
141,12/03/2018,406,10,6.6,40,1.0,1061,-6.0,0.65,0.0,0.0,Spring,No Holiday,Yes
142,19/01/2018,648,8,-2.5,50,1.0,1281,-11.5,0.0,0.0,0.0,Winter,No Holiday,Yes
143,06/05/2018,16,8,15.2,97,1.0,414,14.7,0.08,2.0,0.0,Spring,No Holiday,Yes
144,22/04/2018,424,11,17.4,54,0.9,1840,7.9,0.51,0.0,0.0,Spring,No Holiday,Yes
145,10/06/2018,2182,15,24.8,49,1.2,2000,13.3,1.34,0.0,0.0,Summer,No Holiday,Yes
146,11/06/2018,194,4,18.8,60,1.0,2000,10.8,0.0,0.0,0.0,Summer,No Holiday,Yes
147,06/03/2018,556,9,1.2,62,0.8,1338,-5.2,0.85,0.0,0.0,Spring,No Holiday,Yes
148,25/11/2018,285,2,2.8,86,0.8,402,0.6,0.0,0.0,2.9,Autumn,No Holiday,Yes
149,20/07/2018,773,1,26.1,81,1.6,1409,22.5,0.0,0.0,0.0,Summer,No Holiday,Yes
150,17/06/2018,1709,14,26.8,44,1.6,760,13.5,2.01,0.0,0.0,Summer,No Holiday,Yes
151,02/07/2018,28,1,21.3,97,1.0,1451,20.7,0.0,3.0,0.0,Summer,No Holiday,Yes
152,07/11/2018,1115,17,14.9,73,0.9,854,10.0,0.04,0.0,0.0,Autumn,No Holiday,Yes
153,23/02/2018,62,2,0.7,97,1.4,197,0.2,0.0,0.0,4.1,Winter,No Holiday,Yes
154,10/10/2018,82,4,14.3,92,2.0,714,13.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
155,14/04/2018,20,5,9.5,76,0.8,1962,5.4,0.0,0.0,0.0,Spring,No Holiday,Yes
156,06/10/2018,5,9,16.7,97,2.9,550,16.2,0.05,6.0,0.0,Autumn,No Holiday,Yes
157,15/10/2018,1121,14,20.0,48,2.1,586,8.6,1.72,0.0,0.0,Autumn,No Holiday,Yes
158,30/05/2018,505,6,18.6,84,0.7,316,15.8,0.01,0.0,0.0,Spring,No Holiday,Yes
159,02/08/2018,1535,21,33.3,63,1.2,1304,25.2,0.0,0.0,0.0,Summer,No Holiday,Yes
160,27/11/2018,140,5,3.6,84,0.6,315,1.1,0.0,0.0,0.0,Autumn,No Holiday,Yes
161,19/10/2018,1018,23,11.7,70,1.7,2000,6.4,0.0,0.0,0.0,Autumn,No Holiday,Yes
162,26/05/2018,1441,13,27.8,31,2.0,1326,9.1,3.29,0.0,0.0,Spring,No Holiday,Yes
163,03/04/2018,1223,21,17.0,83,3.2,744,14.0,0.0,0.0,0.0,Spring,No Holiday,Yes
164,14/10/2018,185,4,7.9,76,1.3,771,3.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
165,31/08/2018,381,2,23.4,79,0.4,1045,19.5,0.0,0.0,0.0,Summer,No Holiday,Yes
166,11/04/2018,0,23,9.7,45,2.0,1969,-1.6,0.0,0.0,0.0,Spring,No Holiday,No
167,12/06/2018,144,4,17.5,84,0.8,2000,14.7,0.0,0.0,0.0,Summer,No Holiday,Yes
168,20/06/2018,1629,7,20.0,77,1.7,595,15.8,0.29,0.0,0.0,Summer,No Holiday,Yes
169,23/08/2018,304,3,29.7,52,1.4,2000,18.7,0.0,0.0,0.0,Summer,No Holiday,Yes
170,27/02/2018,335,13,5.8,39,0.6,931,-7.1,0.35,0.0,0.0,Winter,No Holiday,Yes
171,20/02/2018,370,13,4.2,22,3.9,1812,-15.6,2.21,0.0,0.0,Winter,No Holiday,Yes
172,12/08/2018,959,16,34.1,47,2.5,2000,21.1,0.61,0.0,0.0,Summer,No Holiday,Yes
173,11/09/2018,1192,12,24.5,40,1.3,1973,10.0,2.64,0.0,0.0,Autumn,No Holiday,Yes
174,08/02/2018,57,3,-8.6,64,0.9,1754,-14.1,0.0,0.0,0.0,Winter,No Holiday,Yes
175,12/02/2018,103,0,-7.7,52,3.2,1982,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes
176,26/02/2018,308,23,2.8,39,0.7,1065,-9.8,0.0,0.0,0.0,Winter,No Holiday,Yes
177,05/07/2018,890,11,26.3,71,1.1,1340,20.6,0.86,0.0,0.0,Summer,No Holiday,Yes
178,04/06/2018,244,3,19.6,51,1.0,1923,9.1,0.0,0.0,0.0,Summer,No Holiday,Yes
179,14/05/2018,1885,21,20.5,67,1.4,357,14.1,0.0,0.0,0.0,Spring,No Holiday,Yes
180,23/06/2018,417,6,21.0,48,0.6,2000,9.5,0.01,0.0,0.0,Summer,No Holiday,Yes
181,14/12/2017,294,14,-2.7,28,0.7,1857,-18.7,0.65,0.0,0.0,Winter,No Holiday,Yes
182,08/06/2018,2348,8,19.7,69,2.0,1448,13.8,0.54,0.0,0.0,Summer,No Holiday,Yes
183,11/02/2018,40,7,-9.2,34,2.0,1945,-22.2,0.0,0.0,0.0,Winter,No Holiday,Yes
184,01/06/2018,3088,18,28.5,36,3.0,1981,11.9,1.21,0.0,0.0,Summer,No Holiday,Yes
185,17/09/2018,2232,20,21.9,65,2.5,1986,15.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
186,22/06/2018,413,3,19.3,85,1.6,345,16.7,0.0,0.0,0.0,Summer,No Holiday,Yes
187,23/04/2018,2,4,9.5,95,2.4,410,8.7,0.0,3.5,0.0,Spring,No Holiday,Yes
188,26/07/2018,644,10,29.5,68,1.8,946,22.9,0.54,0.0,0.0,Summer,No Holiday,Yes
189,10/02/2018,151,19,-3.1,14,5.1,2000,-26.9,0.0,0.0,0.0,Winter,No Holiday,Yes
190,20/05/2018,1846,20,19.0,26,1.5,2000,-0.9,0.02,0.0,0.0,Spring,No Holiday,Yes
191,02/07/2018,304,13,22.6,97,0.6,367,22.0,0.3,0.5,0.0,Summer,No Holiday,Yes
192,03/05/2018,1388,21,11.9,48,1.9,1918,1.2,0.0,0.0,0.0,Spring,No Holiday,Yes
193,03/07/2018,906,11,,66,1.4,1953,22.1,2.72,0.0,0.0,Summer,No Holiday,Yes
194,07/10/2018,753,9,16.2,60,1.9,1899,8.4,1.16,0.0,0.0,Autumn,No Holiday,Yes
195,08/07/2018,2070,16,27.9,39,1.2,2000,12.6,2.16,0.0,0.0,Summer,No Holiday,Yes
196,02/04/2018,125,5,15.3,82,1.4,508,12.2,0.0,0.0,0.0,Spring,No Holiday,Yes
197,18/03/2018,407,0,5.9,56,1.1,1019,-2.2,0.0,0.0,0.0,Spring,No Holiday,Yes
198,01/10/2018,1057,23,13.4,69,3.7,2000,7.8,0.0,0.0,0.0,Autumn,No Holiday,Yes
199,16/07/2018,678,10,29.8,54,1.8,1737,19.4,2.34,0.0,0.0,Summer,No Holiday,Yes
200,10/12/2017,9,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,Winter,No Holiday,Yes
201,28/03/2018,1288,19,16.0,60,2.8,1436,8.2,0.06,0.0,0.0,Spring,No Holiday,Yes
202,19/04/2018,139,10,14.7,29,1.7,1070,-3.1,2.07,0.0,0.0,Spring,No Holiday,Yes
203,11/02/2018,119,21,-5.6,69,2.2,1984,-10.3,0.0,0.0,0.0,Winter,No Holiday,Yes
204,15/05/2018,372,2,17.1,74,0.4,350,12.4,0.0,0.0,0.0,Spring,No Holiday,Yes
205,10/04/2018,75,22,15.8,83,5.4,691,12.9,0.0,1.5,0.0,Spring,No Holiday,Yes
206,08/09/2018,1505,13,26.1,32,3.0,1985,8.1,3.06,0.0,0.0,Autumn,No Holiday,Yes
207,31/12/2017,272,16,2.7,26,2.7,2000,-14.9,0.59,0.0,0.0,Winter,Holiday,Yes
208,27/08/2018,1762,21,23.9,88,0.8,2000,21.7,0.0,0.0,0.0,Summer,No Holiday,Yes
209,01/11/2018,852,11,11.1,46,1.6,1518,-0.1,1.84,0.0,0.0,Autumn,No Holiday,Yes
210,01/07/2018,17,21,21.8,97,0.6,692,21.2,0.0,3.5,0.0,Summer,No Holiday,Yes
211,27/05/2018,1729,21,19.5,46,1.8,1734,7.5,0.0,0.0,0.0,Spring,No Holiday,Yes
212,07/05/2018,994,23,17.5,69,1.5,978,11.7,0.0,0.0,0.0,Spring,No Holiday,Yes
213,24/08/2018,948,19,23.6,86,3.0,1275,21.1,0.04,0.0,0.0,Summer,No Holiday,Yes
214,30/01/2018,59,19,-1.7,91,1.1,167,-2.9,0.0,0.0,3.0,Winter,No Holiday,Yes
215,02/02/2018,115,6,-7.0,62,1.3,1830,-13.0,0.0,0.0,0.0,Winter,No Holiday,Yes
216,17/04/2018,406,6,6.9,57,0.5,1775,-1.0,0.0,0.0,0.0,Spring,No Holiday,Yes
217,30/05/2018,1150,7,18.9,85,0.6,289,16.3,0.12,0.0,0.0,Spring,No Holiday,Yes
218,11/11/2018,518,1,8.8,89,0.7,213,7.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
219,07/11/2018,639,0,11.9,74,1.6,287,7.4,0.0,0.0,0.0,Autumn,No Holiday,Yes
220,24/04/2018,77,5,,93,1.3,2000,8.3,0.0,0.0,0.0,Spring,No Holiday,Yes
221,19/08/2018,264,4,23.6,61,0.3,2000,15.6,0.0,0.0,0.0,Summer,No Holiday,Yes
222,14/09/2018,1456,7,,76,1.3,2000,16.1,0.06,0.0,0.0,Autumn,No Holiday,Yes
223,12/09/2018,241,5,17.5,60,1.6,2000,9.6,0.0,0.0,0.0,Autumn,No Holiday,Yes
224,29/08/2018,490,14,26.8,77,3.5,1965,22.4,0.11,0.0,0.0,Summer,No Holiday,Yes
225,03/02/2018,107,21,-9.1,38,2.7,2000,-20.8,0.0,0.0,0.0,Winter,No Holiday,Yes
226,28/11/2018,167,3,3.5,38,1.6,907,-9.5,0.0,0.0,0.0,Autumn,No Holiday,Yes
227,30/08/2018,1732,21,24.8,72,1.4,1298,19.4,0.0,0.0,0.0,Summer,No Holiday,Yes
228,23/08/2018,1678,8,28.1,58,1.3,2000,19.0,0.14,0.0,0.0,Summer,No Holiday,Yes
229,15/10/2018,1556,21,15.5,86,1.3,178,13.1,0.0,0.0,0.0,Autumn,No Holiday,Yes
230,07/01/2018,331,14,1.9,32,0.7,1368,-13.0,0.41,0.0,0.0,Winter,No Holiday,Yes
231,08/11/2018,158,1,11.9,77,1.1,1634,7.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
232,15/10/2018,2070,8,12.0,77,0.4,891,8.0,0.12,0.0,0.0,Autumn,No Holiday,Yes
233,04/05/2018,1857,17,18.1,30,4.6,1925,0.2,1.86,0.0,0.0,Spring,No Holiday,Yes
234,04/02/2018,77,23,-10.3,48,2.0,2000,-19.2,0.0,0.0,0.0,Winter,No Holiday,Yes
235,25/04/2018,906,23,14.0,45,0.6,1901,2.2,0.0,0.0,0.0,Spring,No Holiday,Yes
236,07/03/2018,410,10,5.2,52,1.5,1808,-3.8,0.74,0.0,0.0,Spring,No Holiday,Yes
237,02/08/2018,850,0,31.9,67,1.5,1550,25.0,0.0,0.0,0.0,Summer,No Holiday,Yes
238,02/01/2018,273,13,1.5,23,3.6,1970,-17.4,0.95,0.0,0.0,Winter,No Holiday,Yes
239,26/10/2018,603,23,10.2,64,3.9,2000,3.6,0.0,0.0,0.0,Autumn,No Holiday,Yes
240,16/02/2018,126,19,0.6,59,2.3,1939,-6.5,0.0,0.0,0.0,Winter,Holiday,Yes
241,17/12/2017,132,2,-8.7,40,2.8,2000,-19.8,0.0,0.0,0.0,Winter,No Holiday,Yes
242,15/09/2018,453,7,,84,0.3,2000,18.3,0.05,0.0,0.0,Autumn,No Holiday,Yes
